2024-10-11 22:10:49,696 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Configure stats pid to 10156
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Loading settings from C:\Users\chavv\.config\wandb\settings
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Loading settings from d:\github\HumanEmotions\pytorch\learn\wandb\settings
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_init.py:_log_setup():532] Logging user logs to d:\github\HumanEmotions\pytorch\learn\wandb\run-20241011_221049-gfq4u0n0\logs\debug.log
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_init.py:_log_setup():533] Logging internal logs to d:\github\HumanEmotions\pytorch\learn\wandb\run-20241011_221049-gfq4u0n0\logs\debug-internal.log
2024-10-11 22:10:49,697 INFO    MainThread:10156 [wandb_init.py:_jupyter_setup():478] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000251BB326A00>
2024-10-11 22:10:49,698 INFO    MainThread:10156 [wandb_init.py:init():617] calling init triggers
2024-10-11 22:10:49,698 INFO    MainThread:10156 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'epochs': 10, 'batch_size': 32, 'image_size': 224, 'num_classes': 3}
2024-10-11 22:10:49,698 INFO    MainThread:10156 [wandb_init.py:init():667] starting backend
2024-10-11 22:10:49,698 INFO    MainThread:10156 [wandb_init.py:init():671] sending inform_init request
2024-10-11 22:10:49,699 INFO    MainThread:10156 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-10-11 22:10:49,699 INFO    MainThread:10156 [wandb_init.py:init():684] backend started and connected
2024-10-11 22:10:49,707 INFO    MainThread:10156 [wandb_run.py:_label_probe_notebook():1346] probe notebook
2024-10-11 22:10:49,707 INFO    MainThread:10156 [wandb_run.py:_label_probe_notebook():1356] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-10-11 22:10:49,708 INFO    MainThread:10156 [wandb_init.py:init():779] updated telemetry
2024-10-11 22:10:49,778 INFO    MainThread:10156 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-11 22:10:50,290 INFO    MainThread:10156 [wandb_init.py:init():863] starting run threads in backend
2024-10-11 22:10:50,466 INFO    MainThread:10156 [wandb_run.py:_console_start():2465] atexit reg
2024-10-11 22:10:50,467 INFO    MainThread:10156 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-11 22:10:50,467 INFO    MainThread:10156 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-11 22:10:50,467 INFO    MainThread:10156 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-11 22:10:50,468 INFO    MainThread:10156 [wandb_init.py:init():907] run started, returning control to user process
2024-10-11 22:10:50,468 INFO    MainThread:10156 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-10-11 22:10:50,468 INFO    MainThread:10156 [wandb_init.py:_pause_backend():443] pausing backend
2024-10-11 22:10:50,485 INFO    MainThread:10156 [wandb_init.py:_resume_backend():448] resuming backend
2024-10-11 22:10:53,395 INFO    MainThread:10156 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-10-11 22:10:53,395 INFO    MainThread:10156 [wandb_init.py:_pause_backend():443] pausing backend
2024-10-11 22:10:53,513 INFO    MainThread:10156 [wandb_init.py:_resume_backend():448] resuming backend
2024-10-11 22:10:53,552 INFO    MainThread:10156 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-10-11 22:10:53,552 INFO    MainThread:10156 [wandb_init.py:_pause_backend():443] pausing backend
2024-10-11 22:10:53,569 INFO    MainThread:10156 [wandb_init.py:_resume_backend():448] resuming backend
2024-10-11 22:10:53,571 INFO    MainThread:10156 [jupyter.py:save_ipynb():387] not saving jupyter notebook
